DESCRIPCION;MARCA;MODELO
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO PARA SERVICIO PESADO E INDUSTRIALES, PUMA LITHCOM EP2 EN 4 BARRILES DE 400LB CADA UNO, CODIGO: 5000144.;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO PARA SERVICIO PESADO E INDUSTRIALES, PUMA LITHCOM EP2 EN 6 BARRILES DE 400LB CADA UNO ,CODIGO:5000144;PUMA;S/M
GRASA LUBRICANTE PARA MOTORES ELECTRICOS MULTIPROPOSITO PARA SERVICIO PESADO E INDUSTRIALES, PUMA LITHCOM EP2, EN 8 BARRILES DE 400LB CADA UNO , CODIGO: 5000144.;PUMA;S/M
GRASA LUBRICANTE MULTIPROPOSITO PARA SERVICIO PESADO DEL SECTOR AUTOMOTRIZ PUMA LITHCOM MOLY EP2, EN 16 BARRILES DE 400LBS CADA UNO, CODIGO :5000139.;PUMA;S/M
"00585F; OMEGA 585 AEROSOL ACEITE GRADO ALIMENTICIO PARA CADENAS; UNIDADES DE 500ML";OMEGA;S/M
"18198-1; JAX HALO GUARD FG 2, GRASA NSF H-1 EN TUBOS DE 12 OZ";JAX;S/M
GRASA SUPER S BLUE EP2 HTP 14 ONZAS 10/1 50/14;SUPER S;BLUE EP2 HTP 
"GRASAS; CUBETAS DE 35 LIBRAS -- UNO AXXIS EXTREME PRESSURE #2 GREASE 35 LB (RED) UNO.HTGRS.1035.061 / CUST. CODE: SSI/33936";UNO;35 LB (RED)
"GRASAS; BARRILITO DE 120 LIBRAS -- UNO AXXIS EXTREME PRESSURE #2 GREASE 120 LB (RED) UNO.HTGRS.1120.060 / CUST. CODE: SSI/33935";UNO;120 LB (RED)
"GRASAS; BARRILES DE 400 LIBRAS -- UNO AXXIS EXTREME PRESSURE #2 GREASE 400 LB (RED) UNO.HTGRS.1400.072";UNO;400 LB (RED)
GRASA LUBRICANTE EN PRESENTACION DE 1 LIBRA CON 400 GRAMOS REF.: LGMT 3/0.4;SKF;S/M
GRASA LUBRICANTE EN PRESENTACION DE 1 LIBRA CON 400 GRAMOS REF.: LGWA2/0.4;SKF;S/M
GRASA LUBRICANTE EN PRESENTACION DE 1 KILO REF.: LGMT 3/1;SKF;S/M
GRASA LUBRICANTE EN PRESENTACION DE 1 KILO REF.: LGWA2/1;SKF;S/M
GRASA LUBRICANTE EN PRESENTACION DE 1 KILO REF.: LGHP 2/1;SKF;S/M
LUBRICADOR CON GRASA DE 125 MILILITRO REF.: LAGD 125/WA2;SKF;S/M
GRASA  MULTI PROPOSITO RENOLIT REPLEX 2-35LB CUBO DE METAL;FUCHS;65111500035
GRASA MINERAL PARA LUBRICACION DE RODAMIENTOS DE MOTORES  30-400 LB,DRUM CEPLATTYN SF KG 10  BATCH: 0100702434/013;SKF;65173801040
GRASA MINERAL PARA LUBRICACION DE RODAMIENTOS DE MOTORES, 374LB DRUM, CEPLATTYN KG 10  LC TN  BATCH: 0100691127/021;SKF;65101800040
"SUS66-401; GRASA LUBRICANTE  SUPER S MULTI -PURPOSE AMBER #2 LITHIUM GREASE 400 POUND.; GRASA LUBRICANTE  SUPER S MULTI - PURPOSE AMBER #2 LITHIUM GREASE 400 POUND. EN BARRIL.";SUPER S;S-M
01 CUBETA DE 35 LBS CADA CUBETA PARA UN TOTAL DE 35 LBS CONTENIENDO  35 LB. GRASA TEKSTAR RED ULTRAA HD EP 2/35 REF : SR;TEKSTAR;SR
GRASA LUBRICANTE (C/16 PEAK GRASA CHASSIS ROJA) ROJA-P300-11;PEAK;ROJA-P300-11 
AEROSOL LUBRICANTE DE CADENAS,CHAIN / CABLE LUBE CAN AEROSOL;INTEGRITY PARTS SYSTEM;363107-001
KIT DE MANTENIMIENTO C 2000 HRS,C5 AN10 ENGINE PM KIT- 2000hr,6 LITROS DE ACIETES PARA MOTOR,12 LITROS DE ACEITE HIDRAIULICOS,KIT DE 4 CHISPEROS Y SUS ACCESORIOS,1 FILTRO DE ACEITE,1 FILTRO DE AIRE, 1 ELEMENTO DE FILTRO;INTEGRITY PARTS SYSTEM;363517-002
GRASA TOP1 SYNTHETIC HI-TEMP GRASA 24 LATAS 1 LB.;TOP1 OIL;10620
VAL CERULEAN #2 GRS 50/14.1 OC. GRASA LUBRICANTE CERULEAN #2, PARA MAQUINARIA INDUSTRIAL. PRESENTACION: ENVASE DE 400 GRAMOS/14.1 OZ. EN CAJAS DE 50 ENVASES DE 14.1 OZ L.;VALVOLINE;VV70133
VAL PREM BLUE DEF DR 55 GA, ACEITES LUBRICANTES PARA MOTORES A GASOLINA PREMIUN PROTECCION, FABRICADO CON LA MAS ALTA CALIDAD PARA CUIDAR Y FAVORECER EL DESEMPEÑO DEL;VALVOLINE;749714
ACEITE LUBRICANTE, KLEAROL, 5 GALLON PAIL. LIGHT WHITE MINERAL OIL. EN PRESENTACION DE CUBETA DE 5 GALONES - 38.20LB. 17.33KGS CADA UNA. LOTE: 94924092018.;KLEAROL;10400330
ACEITE PARA USO INDUSTIAL, MONOLEX PENETRATING OIL & LUBE.- CAJA CONTIENE 12 FRASCOS AEROSOL DE 10.25 ONZAS;LE XPORT;2059-CSA
ACEITE Y LUBRICANTE, H1 QUINPLEX PEN OIL & LUBE.- CAJA CONTIENE 12 FRASCOS AEROSOL DE 12 ONZAS.;LE XPORT;4059-CSA
ACEITE PARA COMPRESOR Y TURBINAS, MONOLEC R&O COMPRESSOR/TURBINE.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6404-PL
ACEITE PARA COMPRESOR Y TURBINAS, MONOLEC R&O COMPRESSOR/TURBINE.- EN PRESENTACION DE CUBETAS DE 18.9 LITROS CADA UNA;LE XPORT;6401-PL
ACEITE PARA COMPRESOR Y TURBINAS, MONOLEC R&O COMPRESSOR/TURBINE.- EN PRESENTACION DE CUBETAS CONTENIENDO 18.9 LITROS CADA UNA.;LE XPORT;6405-PL
ACEITE PARA COMPRESOR Y TURBINAS, MONOLEC R&O COMPRESSOR/TURBINE.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6404-PL
LUBRICANTE MULTIPROPOSITO, H1 QUINPLEX FOOD MACH LUBE.- CAJA CONTENIENDO 40 TUBOS DE 14.1 ONZAS.;LE XPORT;4025-CSA
ACEITE PARA USO INDUSTRIAL, MULTILEC INDUSTRIAL OIL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA;LE XPORT;6803-PL
ACEITE Y LUBRICANTE, QUINPLEX H1 PENETRATING LUBE.- EN PRESENTACION DE CUBETAS PLASTICAS DE 18.9 LITROS CADA UNA.;LE XPORT;4058-PL
LUBRICANTE MULTIPROPOSITO, DUOLEC INDUSTRIAL GEAR OIL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1605-PL
LUBRICANTE MULTIPROPOSITO, DUOLEC INDUSTRIAL GEAR OIL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1606-PL
LUBRICANTE MULTIPROPOSITO, DUOLEC INDUSTRIAL GEAR OIL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1605-PL
LUBRICANTE MULTIPROPOSITO, DUOLEC INDUSTRIAL GEAR OIL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA.;LE XPORT;1606-PL
LUBRICANTE MULTIPROPOSITO, DUOLEC INDUSTRIAL GEAR OIL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1608-PL
LUBRICANTE MULTIPROPOSITO, DUOLEC INDUSTRIAL GEAR OIL.- EN PRESENTACION DE CUBETAS PLASTICAS DE 15.9 KG. CADA UNA;LE XPORT;1606-PL
GRASA INDUSTRIA AUTOMOTRIZ SHELL GADUS S3 V220C 10 PQTS DE 0.4 KLS;SHELL;550039977
GRASA INDUSTRIAL AUTOMTRIZ SHELL GADUS S3 V460D 2 EN BTS DE 10 PQT DE 0.4KG;SHELL;550039997
GRASA INDUSTRIAL AUTOMOTRIZ SHELL GADUS S3 V220C EN BTS DE 18 KG;SHELL;550026853
GRASA INDUSTRIAL AUTOMOTRIX SHELL GADUS S2 V220AC EN BTS DE 18KG;SHELL;550029775
GRASA INDUSTRIAL AUTOMOTRIZ SHEEL GADUS S3 V460D 2  EN BTS DE 18 K;SHELL;550026858
LUBRICANTE REPSOL MOTO CHAIN EN PRESENTACION DE 400ML CAJA DE 12 UNDS PARA UN TOTAL DE 460.80 LITROS;REPSOL;S/M
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINOFAA;YAMALUBE;S-M
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINOFAA;YAMALUBE;S-M
LUBRICANTE CADENA YAMALUBE 12 OZ 340G PARTE NUMERO ACCCHAINONAA;YAMALUBE;S-M
GRASA MARINA YAMALUBE MOTOR MARINO 10 OZ PARTE NUMERO ACCGREAS14CT;YAMALUBE;S-M
ACEITE PARA MOTOR, CUBETA DE 05 GALONES, 336 CUBETAS DE 05 GALONES = 6359.492 LITROS, REF# TY26801;JOHN DEERE;TY26801
Clave P3189. ACEITE HIDRAULICO MULTIFLUID HT C/19 L. CUBETA DE 19 LITROS, 240 CUBETAS CON 4,560 LITROS;RALOY;S/M
Clave P3061E-P. ACEITE HIDRAULICO MULTIFLUID HT T/208 EXP. (ENV. PLAST.) BARRIL DE 208 LITROS, 12 BARRILES CON 2,496 LITROS;RALOY;S/M
